title,price,rating,reviews,availability,image
"Samsung Galaxy A17 5G Smart Phone, 128GB, Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025, US 1 Yr Manufacturer Warranty, Black","19,098.",4.4 out of 5 stars,(857),In Stock,https://m.media-amazon.com/images/I/71Ss7HzbhUL._AC_SX300_SY300_QL70_ML2_.jpg
"Samsung Galaxy S26, Unlocked Android Smartphone, 256GB, Powerful Processor, Galaxy AI, Immersive Viewing, Durable Battery, 2026, US 1 Year Warranty, Black","76,396.",4.3 out of 5 stars,"(1,359)",In Stock,https://m.media-amazon.com/images/I/61q1dJxGowL._AC_SX300_SY300_QL70_ML2_.jpg
Motorola Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,"8,593.",4.6 out of 5 stars,"(1,740)",In Stock,https://m.media-amazon.com/images/I/61xk4XNRktL._AC_SY300_SX300_QL70_ML2_.jpg
"Dexnor for Samsung Galaxy A37 5G Phone Case, Galaxy A36 Case [2 Front Frame & Built-in Magnetic Slide Camera Cover Kickstand] Heavy Duty A37/A36 Case with Screen Protector Kickstand, 6.7 inch Black",,4.2 out of 5 stars,"(3,080)",Not Available,https://m.media-amazon.com/images/I/71E1ZhHfX2L._AC_SY300_SX300_QL70_ML2_.jpg
"Dexnor for Samsung Galaxy A37 5G Phone Case, Galaxy A36 Case [2 Front Frame & Built-in Magnetic Slide Camera Cover Kickstand] Heavy Duty A37/A36 Case with Screen Protector Kickstand, 6.7 inch Black",,4.2 out of 5 stars,"(3,080)",Not Available,https://m.media-amazon.com/images/I/71E1ZhHfX2L._AC_SY300_SX300_QL70_ML2_.jpg
"Samsung Galaxy S26, Unlocked Android Smartphone, 256GB, Powerful Processor, Galaxy AI, Immersive Viewing, Durable Battery, 2026, US 1 Year Warranty, Cobalt Violet","76,396.",4.5 out of 5 stars,"(1,359)",In Stock,https://m.media-amazon.com/images/I/61pYc2tne0L._AC_SX300_SY300_QL70_ML2_.jpg
Moto G Power 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Midnight Blue,"17,188.",4.3 out of 5 stars,"(3,193)",Not Available,https://m.media-amazon.com/images/I/61c9OZyq2yL._AC_SY300_SX300_QL70_ML2_.jpg
"Samsung Galaxy A37 5G (2026), Unlocked Android Smartphone, 128GB, AMOLED Display, Triple Camera, IP68, Slim Phone, 5000mAh Battery, US Version, US 1 Yr Warranty, Awesome Charcoal","35,810.",4.5 out of 5 stars,(81),In Stock,https://m.media-amazon.com/images/I/5172k5P8aOL._AC_SY300_SX300_QL70_ML2_.jpg
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)","1,907.",4.4 out of 5 stars,"(26,654)",Not Available,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_SY300_SX300_QL70_ML2_.jpg
"Samsung Galaxy S25 FE Cell Phone (2025), 256GB AI Smartphone, Unlocked Android, Large Display, 4900mAh Battery, High Res-Camera, AI Photo Edits, Durable, US 1 Yr Warranty, JetBlack","55,387.",4.6 out of 5 stars,(958),Only 7 left in stock - order soon.,https://m.media-amazon.com/images/I/61JvXODKxOL._AC_SX300_SY300_QL70_ML2_.jpg
