source_url,product_title,brand,price_discounted,mrp,available_sizes,image_url,detail_link,review,rating
https://www.myntra.com/men-topwear,Men Solid Cotton Casual Shirt,DAMENSCH,Rs. 1209Rs. 1799,Rs. 1799,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32587862/2025/4/10/97196e59-f9c5-45bf-adda-32eb869943401744302941296-DAMENSCH-Men-Modern-Fit-Cutaway-Collar-Solid-Cotton-Casual-S-1.jpg",shirts/damensch/damensch-men-modern-fit-cutaway-collar-solid-cotton-casual-shirt/32587862/buy,,
https://www.myntra.com/men-topwear,Regular Fit Casual Shirt,HIGHLANDER,Rs. 539Rs. 1799,Rs. 1799,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28400716/2024/3/20/16fd8cba-d2b8-4930-81ea-b0147d29eaed1710956142609TokyoTalkiesMenClassicSlimFitSheerStripedCasualShirt1.jpg",shirts/highlander/highlander-white-regular-fit-vertical-striped-casual-shirt/28400716/buy,,
https://www.myntra.com/men-topwear,Men Cotton Casual Shirt,Roadster,Rs. 405Rs. 1399,Rs. 1399,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17091614/2022/2/18/779ac019-8b8c-48f7-9c5e-b3e2fe3004b01645166457327-Men-White-Casual-Shirt-5731645166456476-1.jpg",shirts/roadster/roadster-men-white-classic-regular-fit-cotton-casual-shirt/17091614/buy,,
https://www.myntra.com/men-topwear,Tribal Print Cotton Kurta,Sangria,Rs. 611Rs. 1699,Rs. 1699,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31825450/2025/2/22/fe9d6abb-2d29-4ea1-bd1d-b07f86198cfd1740222415921-Sangria-Men-Kurtas-9521740222415250-1.jpg",kurtas/sangria/sangria-tribal-print-pure-cotton-kurta/31825450/buy,,
https://www.myntra.com/men-topwear,Men Solid Single-Breasted Formal Blazer,Peter England,Rs. 2022Rs. 4213,Rs. 4213,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/FEBRUARY/7/ee4TpNq0_f4f94f125f07443ab50474cc2d5c8e6f.jpg",blazers/peter+england/peter-england-men-black-solid-single-breasted-formal-blazer/16698520/buy,,
https://www.myntra.com/men-topwear,Men Slim Fit Casual Shirt,Mast & Harbour,Rs. 461Rs. 2099,Rs. 2099,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/12/iSJz5Njt_c1194cf91f2345f0aa27b4c49e12e0e3.jpg",shirts/mast+%26+harbour/mast--harbour-men-blue--white-slim-fit-striped-casual-shirt/8717979/buy,,
https://www.myntra.com/men-topwear,Cotton Oversized T-shirt,THIRD QUADRANT,Rs. 420Rs. 1699,Rs. 1699,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/MAY/11/4bSWp2Vl_1fba61411d174d92bf18331cb0744794.jpg",tshirts/third+quadrant/third-quadrant-men-typography-printed-t-shirt/42058558/buy,,
https://www.myntra.com/men-topwear,Men Checked Cotton Shirt,HIGHLANDER,Rs. 384Rs. 2749,Rs. 2749,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/3/jTC1cjTa_cc79f3a74d94478cb9119171de807c9b.jpg",shirts/highlander/highlander-men-comfort-slim-fit-spread-collar-tartan-checked-cotton-casual-shirt/33033156/buy,,
https://www.myntra.com/men-topwear,Printed Round Neck Sweatshirt,Plugin,Rs. 772Rs. 1899,Rs. 1899,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/MAY/28/bFnChElD_fdadccb4404e430a832dcea269aad1de.jpg",sweatshirts/plugin/plugin-abstract-printed-round-neck-collar-long-sleeves-cotton-sweatshirt/42652199/buy,,
https://www.myntra.com/men-topwear,Striped Pure Cotton Kurta,HERE&NOW,Rs. 524Rs. 2499,Rs. 2499,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/23/CUgjn9Xp_549b5f0bd11648279207020a0db031e5.jpg",kurtas/here%26now/herenow-striped-mandarin-collar-pure-cotton-straight-kurta/35122250/buy,,
