Product Name,Quantity / Weight / Volume,Current Price,Stock Availability Status,Product Image URL,Product Link
fresho! Banganapalli Mango,1 kg,79.2,In Stock,"https://www.bbassets.com/media/uploads/p/m/10000298_23-fresho-banganapalli-mango.jpg?tr=w-154,q-80",https://www.bigbasket.com/pd/10000298/fresho-banganapalli-mango-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=1&t_s=Banganapalli%2520Mango
fresho! Tender Coconut,1 pc,85.0,In Stock,"https://www.bbassets.com/media/uploads/p/m/40057966_13-fresho-tender-coconut-medium.jpg?tr=w-154,q-80",https://www.bigbasket.com/pd/40057966/fresho-tender-coconut-medium-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=2&t_s=Tender%2520Coconut
fresho! Local Tomato,1 kg,66.12,In Stock,"https://www.bbassets.com/media/uploads/p/m/10000203_19-fresho-tomato-local.jpg?tr=w-154,q-80",https://www.bigbasket.com/pd/10000203/fresho-tomato-local-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=3&t_s=Local%2520Tomato
fresho! Coriander Leaves Without Roots,1 kg,80.56,In Stock,,https://www.bigbasket.com/pd/10000326/fresho-coriander-leaves-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=4&t_s=Coriander%2520Leaves%2520Without%2520Roots
fresho! Onion,1 kg,10.0,In Stock,"https://www.bbassets.com/media/uploads/p/m/10000148_34-fresho-onion.jpg?tr=w-154,q-80",https://www.bigbasket.com/pd/10000148/fresho-onion-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=5&t_s=Onion
fresho! Potato,1 kg,10.0,In Stock,"https://www.bbassets.com/media/uploads/p/m/40048457_20-fresho-potato-new-crop.jpg?tr=w-154,q-80",https://www.bigbasket.com/pd/40048457/fresho-potato-new-crop-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=6&t_s=Potato
fresho! Ladies' Fingers,1 kg,80.56,In Stock,"https://www.bbassets.com/media/uploads/p/m/10000142_21-fresho-ladies-finger.jpg?tr=w-154,q-80",https://www.bigbasket.com/pd/10000142/fresho-ladies-finger-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=7&t_s=Ladies%2527%2520Fingers
fresho! Carrot - Orange,1 kg,67.64,In Stock,"https://www.bbassets.com/media/uploads/p/m/10000070_17-fresho-carrot-orange.jpg?tr=w-154,q-80",https://www.bigbasket.com/pd/10000070/fresho-carrot-orange-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=8&t_s=Carrot%2520-%2520Orange
fresho! Capsicum - Green,1 kg,104.88,In Stock,"https://www.bbassets.com/media/uploads/p/m/10000067_27-fresho-capsicum-green.jpg?tr=w-154,q-80",https://www.bigbasket.com/pd/10000067/fresho-capsicum-green-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=9&t_s=Capsicum%2520-%2520Green
fresho! Lemon,1 kg,127.68,In Stock,,https://www.bigbasket.com/pd/10000335/fresho-lemon-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=10&t_s=Lemon
